Song,Artist,Key,Tuning,Time,Mood,Active
Harder to Breathe,Maroon 5,Eb,E Standard,3.0,6,True
All I Wanted,Paramore,D,Drop D,4.0,8,True
Arctic Monkeys Medley,Arctic Monkeys,A,E Standard,7.0,9,True
Around the World,RHCP,E,E Standard,4.0,9,False
British Bombs,Declan McKenna,G#,E Standard,5.0,5,False
Cigarette Daydreams,Cage the Elephant,D,E Standard,3.5,3,False
All Along the Watchtower,Jimi Hendrix,Misc,E Standard,4.0,6,True
All My Love,Led Zeppelin,Misc,E Standard,6.0,6,True
Althea,Grateful Dead,Misc,E Standard,7.0,5,True
Babe I'm Gonna Leave You,Led Zeppelin,Misc,E Standard,7.0,4,True
More Than a Feeling,Boston,Misc,E Standard,5.0,7,False
Carry On Wayward Son,Kansas,Misc,E Standard,5.5,7,False
Cold as Ice,Foreigner,Misc,E Standard,3.5,8,True
Eye of the Tiger,Survivor,Misc,E Standard,4.0,8,True
Come Sail Away,Styx,Misc,E Standard,6.0,7,True
We Will Rock You,Queen,Misc,E Standard,2.0,8,True
Brown Eyed Girl,Van Morrison,Misc,E Standard,3.0,7,True
Simple Man,Shinedown,Misc,E Standard,4.5,5,True
Second Chance,Shinedown,Misc,E Standard,3.5,5,True
Funk Medley,Misc,Misc,E Standard,10.0,8,True
Mr. Blue Sky,Electric Light Orchestra,Misc,E Standard,5.0,5,False
Super Freak Medley,Misc,Misc,E Standard,5.0,9,True
Hotel California,Eagles,Misc,E Standard,6.5,7,True
Short Skirt Long Jacket,Cake,D,E Standard,3.5,5,True
Straight Through The Heart,Dio,F#,E Standard,4.0,8,True
I Wish,Stevie Wonder,Eb,E Standard,4.0,6,True
Static Buzz,Snail Mail,G,E Standard,5.5,5,True
Cigarette Daydreams,Cage the Elephant,D,E Standard,3.5,3,False
Kiss Me,Sixpence None The Richer,Eb,E Standard,3.5,4,False
Here With Me,d4vd,C,E Standard,4.0,1,False
Sultans of Swing,Dire Straits,D,E Standard,6.0,5,False
Dancing to Nothing At All,Greeting Committee,D,E Standard,4.0,3,True
British Bombs,Declan McKenna,G#,E Standard,5.0,5,False
